%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1455211769921632051,1,0,/fsr_data_acquisition,0,1,0,1
1455211769922466039,2,0,/fsr_data_acquisition,0,1,0,1
1455211769926019906,3,0,/fsr_data_acquisition,0,1,0,1
1455211769929999113,4,0,/fsr_data_acquisition,0,1,0,1
1455211769935081005,5,0,/fsr_data_acquisition,0,1,0,1
1455211769940226078,6,0,/fsr_data_acquisition,0,1,0,1
1455211769945245027,7,0,/fsr_data_acquisition,0,1,0,1
1455211769950119972,8,0,/fsr_data_acquisition,0,1,0,1
1455211769955187082,9,0,/fsr_data_acquisition,0,1,0,1
1455211769961731910,10,0,/fsr_data_acquisition,0,1,0,1
1455211769966996908,11,0,/fsr_data_acquisition,0,1,0,1
1455211769971086978,12,0,/fsr_data_acquisition,0,1,0,1
1455211769975878953,13,0,/fsr_data_acquisition,0,1,0,1
1455211769982064008,14,0,/fsr_data_acquisition,0,1,0,1
1455211769986171960,15,0,/fsr_data_acquisition,0,1,0,1
1455211769990264892,16,0,/fsr_data_acquisition,0,1,0,1
1455211769996726989,17,0,/fsr_data_acquisition,0,1,0,1
1455211770003793954,18,0,/fsr_data_acquisition,0,1,0,1
1455211770005765914,19,0,/fsr_data_acquisition,0,1,0,1
1455211770010548114,20,0,/fsr_data_acquisition,0,1,0,1
1455211770016990900,21,0,/fsr_data_acquisition,0,1,0,1
1455211770026642084,23,0,/fsr_data_acquisition,0,1,0,1
1455211770030317068,24,0,/fsr_data_acquisition,0,1,0,1
1455211770035291910,25,0,/fsr_data_acquisition,0,1,0,1
1455211770040168046,26,0,/fsr_data_acquisition,0,1,0,1
1455211770046029090,27,0,/fsr_data_acquisition,0,1,0,1
1455211770051141977,28,0,/fsr_data_acquisition,0,1,0,1
1455211770056061029,29,0,/fsr_data_acquisition,0,1,0,1
1455211770064938068,30,0,/fsr_data_acquisition,0,1,0,1
1455211770067730903,31,0,/fsr_data_acquisition,0,1,0,1
1455211770070977926,32,0,/fsr_data_acquisition,0,1,0,1
1455211770077615022,33,0,/fsr_data_acquisition,0,1,1,1
1455211770083559989,34,0,/fsr_data_acquisition,0,1,1,1
1455211770086430072,35,0,/fsr_data_acquisition,0,1,1,1
1455211770090099096,36,0,/fsr_data_acquisition,0,1,1,1
1455211770096882104,37,0,/fsr_data_acquisition,0,1,1,1
1455211770103353023,38,0,/fsr_data_acquisition,0,1,1,1
1455211770105468988,39,0,/fsr_data_acquisition,0,1,1,1
1455211770112467050,40,0,/fsr_data_acquisition,0,1,1,1
1455211770121337890,42,0,/fsr_data_acquisition,0,1,1,1
1455211770127230882,43,0,/fsr_data_acquisition,0,1,1,1
1455211770132328033,44,0,/fsr_data_acquisition,0,1,1,1
1455211770135294914,45,0,/fsr_data_acquisition,0,1,1,1
1455211770142060995,46,0,/fsr_data_acquisition,0,1,1,1
1455211770145540952,47,0,/fsr_data_acquisition,0,1,1,1
1455211770151618957,48,0,/fsr_data_acquisition,0,1,1,1
1455211770156497955,49,0,/fsr_data_acquisition,0,1,1,1
1455211770162456989,50,0,/fsr_data_acquisition,0,1,1,1
1455211770165848970,51,0,/fsr_data_acquisition,0,1,1,1
1455211770171200990,52,0,/fsr_data_acquisition,0,1,1,1
1455211770176657915,53,0,/fsr_data_acquisition,0,1,1,1
1455211770181711912,54,0,/fsr_data_acquisition,0,1,1,1
1455211770186983108,55,0,/fsr_data_acquisition,0,1,1,1
1455211770193219900,56,0,/fsr_data_acquisition,0,1,1,1
1455211770195298910,57,0,/fsr_data_acquisition,0,1,1,1
1455211770202176094,58,0,/fsr_data_acquisition,0,1,1,1
1455211770206446886,59,0,/fsr_data_acquisition,1,1,1,1
1455211770211036920,60,0,/fsr_data_acquisition,0,1,1,1
1455211770216706991,61,0,/fsr_data_acquisition,1,1,1,1
1455211770222791910,62,0,/fsr_data_acquisition,1,1,1,1
1455211770225368022,63,0,/fsr_data_acquisition,1,1,1,1
1455211770232441902,64,0,/fsr_data_acquisition,1,1,1,1
1455211770236413002,65,0,/fsr_data_acquisition,1,1,1,1
1455211770241063117,66,0,/fsr_data_acquisition,1,1,1,1
1455211770246566057,67,0,/fsr_data_acquisition,1,1,1,1
1455211770252614021,68,0,/fsr_data_acquisition,1,1,1,1
1455211770255897998,69,0,/fsr_data_acquisition,1,1,1,1
1455211770260761022,70,0,/fsr_data_acquisition,1,1,1,1
1455211770266686916,71,0,/fsr_data_acquisition,1,1,1,1
1455211770273613929,72,0,/fsr_data_acquisition,1,1,1,1
1455211770282192945,73,0,/fsr_data_acquisition,1,1,1,1
1455211770284821033,74,0,/fsr_data_acquisition,1,1,1,1
1455211770286293983,75,0,/fsr_data_acquisition,1,1,1,1
1455211770291500091,76,0,/fsr_data_acquisition,1,1,1,1
1455211770297003030,77,0,/fsr_data_acquisition,1,1,1,1
1455211770301939964,78,0,/fsr_data_acquisition,1,1,1,1
1455211770305732011,79,0,/fsr_data_acquisition,1,1,1,1
1455211770313100099,80,0,/fsr_data_acquisition,1,1,1,1
1455211770316822052,81,0,/fsr_data_acquisition,1,1,1,1
1455211770320338964,82,0,/fsr_data_acquisition,1,1,1,1
1455211770327960968,83,0,/fsr_data_acquisition,1,1,1,1
1455211770332952022,84,0,/fsr_data_acquisition,1,1,1,1
1455211770335484027,85,0,/fsr_data_acquisition,1,1,1,1
1455211770344840049,86,0,/fsr_data_acquisition,1,1,1,1
1455211770347585916,87,0,/fsr_data_acquisition,1,1,1,1
1455211770351655960,88,0,/fsr_data_acquisition,1,1,1,1
1455211770357886075,89,0,/fsr_data_acquisition,1,1,1,1
1455211770361958980,90,0,/fsr_data_acquisition,1,1,1,1
1455211770365360021,91,0,/fsr_data_acquisition,1,1,1,1
1455211770375240087,92,0,/fsr_data_acquisition,1,1,1,0
1455211770380323886,94,0,/fsr_data_acquisition,1,1,1,0
1455211770387763023,95,0,/fsr_data_acquisition,1,1,1,0
1455211770391421079,96,0,/fsr_data_acquisition,1,1,1,0
1455211770397728919,97,0,/fsr_data_acquisition,1,1,1,0
1455211770403779029,98,0,/fsr_data_acquisition,1,1,1,0
1455211770408160924,99,0,/fsr_data_acquisition,1,1,1,0
1455211770410643100,100,0,/fsr_data_acquisition,1,1,1,0
1455211770418343067,101,0,/fsr_data_acquisition,1,1,1,0
1455211770423294067,102,0,/fsr_data_acquisition,1,1,1,0
1455211770430552959,103,0,/fsr_data_acquisition,1,1,1,0
1455211770434184074,104,0,/fsr_data_acquisition,1,1,1,0
1455211770437968015,105,0,/fsr_data_acquisition,1,1,1,0
1455211770440903902,106,0,/fsr_data_acquisition,1,1,1,0
1455211770447232961,107,0,/fsr_data_acquisition,1,1,1,0
1455211770453011035,108,0,/fsr_data_acquisition,1,1,1,0
1455211770458055973,109,0,/fsr_data_acquisition,1,1,1,0
1455211770462682008,110,0,/fsr_data_acquisition,1,1,1,0
1455211770467582941,111,0,/fsr_data_acquisition,1,1,1,0
1455211770471187114,112,0,/fsr_data_acquisition,1,1,1,0
1455211770477546930,113,0,/fsr_data_acquisition,1,1,1,0
1455211770481606006,114,0,/fsr_data_acquisition,1,1,1,0
1455211770485677003,115,0,/fsr_data_acquisition,1,1,1,0
1455211770490217924,116,0,/fsr_data_acquisition,1,1,1,0
1455211770496980905,117,0,/fsr_data_acquisition,1,1,1,0
1455211770501288890,118,0,/fsr_data_acquisition,1,1,1,0
1455211770505198001,119,0,/fsr_data_acquisition,1,1,1,0
1455211770512849092,120,0,/fsr_data_acquisition,1,1,1,0
1455211770516135931,121,0,/fsr_data_acquisition,1,1,1,0
1455211770521981954,122,0,/fsr_data_acquisition,1,1,1,0
1455211770526108026,123,0,/fsr_data_acquisition,1,1,1,0
1455211770533101081,124,0,/fsr_data_acquisition,1,1,1,0
1455211770535991907,125,0,/fsr_data_acquisition,1,1,1,0
1455211770539962053,126,0,/fsr_data_acquisition,1,1,1,0
1455211770586417913,127,0,/fsr_data_acquisition,1,1,1,0
1455211770587815999,128,0,/fsr_data_acquisition,1,1,1,0
1455211770588558912,129,0,/fsr_data_acquisition,1,1,1,0
1455211770589283943,130,0,/fsr_data_acquisition,1,1,1,0
1455211770589842081,131,0,/fsr_data_acquisition,1,1,1,0
1455211770590864896,132,0,/fsr_data_acquisition,1,1,1,0
1455211770592592954,133,0,/fsr_data_acquisition,1,1,1,0
1455211770593128919,134,0,/fsr_data_acquisition,1,1,1,0
1455211770593544960,135,0,/fsr_data_acquisition,1,1,1,0
1455211770594204902,136,0,/fsr_data_acquisition,1,1,1,0
1455211770595397949,137,0,/fsr_data_acquisition,1,1,1,0
1455211770600297927,138,0,/fsr_data_acquisition,1,1,1,0
1455211770605469942,139,0,/fsr_data_acquisition,1,1,1,0
1455211770610148906,140,0,/fsr_data_acquisition,1,1,1,0
1455211770615540027,141,0,/fsr_data_acquisition,1,1,1,0
1455211770622911930,142,0,/fsr_data_acquisition,1,1,1,0
1455211770626442909,143,0,/fsr_data_acquisition,1,1,1,0
1455211770630290985,144,0,/fsr_data_acquisition,1,1,0,0
1455211770636719942,145,0,/fsr_data_acquisition,1,1,0,0
1455211770641180992,146,0,/fsr_data_acquisition,0,1,0,0
1455211770645046949,147,0,/fsr_data_acquisition,0,1,0,0
1455211770650424957,148,0,/fsr_data_acquisition,0,1,0,0
1455211770657165050,149,0,/fsr_data_acquisition,0,1,0,0
1455211770662475109,150,0,/fsr_data_acquisition,0,1,0,0
1455211770672550916,151,0,/fsr_data_acquisition,0,1,0,0
1455211770674030065,152,0,/fsr_data_acquisition,0,1,0,0
1455211770678608894,153,0,/fsr_data_acquisition,0,1,0,0
1455211770680484056,154,0,/fsr_data_acquisition,0,1,0,0
1455211770690690994,156,0,/fsr_data_acquisition,0,1,0,0
1455211770697931051,157,0,/fsr_data_acquisition,0,1,0,0
1455211770700190067,158,0,/fsr_data_acquisition,0,1,0,0
1455211770706860065,159,0,/fsr_data_acquisition,0,1,0,0
1455211770713129043,160,0,/fsr_data_acquisition,0,1,0,0
1455211770715943098,161,0,/fsr_data_acquisition,0,1,0,0
1455211770723120927,162,0,/fsr_data_acquisition,0,1,0,0
1455211770726146936,163,0,/fsr_data_acquisition,0,1,0,0
1455211770730134010,164,0,/fsr_data_acquisition,0,1,0,0
1455211770737951993,165,0,/fsr_data_acquisition,0,1,0,0
1455211770742353916,166,0,/fsr_data_acquisition,0,1,0,0
1455211770752774953,168,0,/fsr_data_acquisition,0,1,0,0
1455211770755726099,169,0,/fsr_data_acquisition,0,1,0,0
1455211770760725021,170,0,/fsr_data_acquisition,0,1,0,0
1455211770766295909,171,0,/fsr_data_acquisition,0,1,0,0
1455211770772283077,172,0,/fsr_data_acquisition,0,1,0,0
1455211770776372909,173,0,/fsr_data_acquisition,0,1,0,0
1455211770784250020,174,0,/fsr_data_acquisition,0,1,0,0
1455211770785878896,175,0,/fsr_data_acquisition,0,1,0,0
1455211770795464038,176,0,/fsr_data_acquisition,0,1,0,0
1455211770798677921,177,0,/fsr_data_acquisition,0,1,0,0
1455211770801634073,178,0,/fsr_data_acquisition,0,1,0,0
1455211770807636976,179,0,/fsr_data_acquisition,0,1,0,0
1455211770814426898,180,0,/fsr_data_acquisition,0,1,0,0
1455211770816468954,181,0,/fsr_data_acquisition,0,1,0,0
1455211770821569919,182,0,/fsr_data_acquisition,0,1,0,0
1455211770826265096,183,0,/fsr_data_acquisition,0,1,0,0
1455211770831692934,184,0,/fsr_data_acquisition,0,1,0,0
1455211770837225914,185,0,/fsr_data_acquisition,0,1,0,0
1455211770843019962,186,0,/fsr_data_acquisition,0,1,0,0
1455211770846281051,187,0,/fsr_data_acquisition,0,1,0,0
1455211770850577116,188,0,/fsr_data_acquisition,0,1,0,0
1455211770856441020,189,0,/fsr_data_acquisition,0,1,0,0
1455211770860769033,190,0,/fsr_data_acquisition,0,1,0,0
1455211770867671012,191,0,/fsr_data_acquisition,0,1,0,0
1455211770872478008,192,0,/fsr_data_acquisition,0,1,0,0
1455211770875787019,193,0,/fsr_data_acquisition,0,1,0,0
1455211770881596088,194,0,/fsr_data_acquisition,0,1,0,0
1455211770886321067,195,0,/fsr_data_acquisition,0,1,0,0
1455211770890616893,196,0,/fsr_data_acquisition,0,1,0,0
1455211770899182081,197,0,/fsr_data_acquisition,0,1,0,0
1455211770902978897,198,0,/fsr_data_acquisition,0,1,0,0
1455211770906847000,199,0,/fsr_data_acquisition,0,1,0,0
1455211770910438060,200,0,/fsr_data_acquisition,0,1,0,0
1455211770917437076,201,0,/fsr_data_acquisition,0,1,0,0
1455211770997620105,202,0,/fsr_data_acquisition,0,1,0,0
1455211771018110990,203,0,/fsr_data_acquisition,0,1,0,0
1455211771019539117,204,0,/fsr_data_acquisition,0,1,0,0
1455211771020423889,205,0,/fsr_data_acquisition,0,1,0,0
1455211771021045923,206,0,/fsr_data_acquisition,0,1,0,0
1455211771021816968,207,0,/fsr_data_acquisition,0,1,0,0
1455211771022423028,208,0,/fsr_data_acquisition,0,1,0,0
1455211771023130893,209,0,/fsr_data_acquisition,0,1,0,0
1455211771024060964,211,0,/fsr_data_acquisition,0,1,0,0
1455211771025160074,212,0,/fsr_data_acquisition,0,1,0,0
