%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1455209740146056890,1,0,/fsr_data_acquisition,0,1,0,1
1455209740147737979,2,0,/fsr_data_acquisition,0,1,0,1
1455209740149497985,3,0,/fsr_data_acquisition,0,1,0,1
1455209740153985023,4,0,/fsr_data_acquisition,0,1,0,1
1455209740159279108,5,0,/fsr_data_acquisition,0,1,0,1
1455209740165137052,6,0,/fsr_data_acquisition,0,1,0,1
1455209740169183015,7,0,/fsr_data_acquisition,0,1,0,1
1455209740173865079,8,0,/fsr_data_acquisition,0,1,0,1
1455209740179152965,9,0,/fsr_data_acquisition,0,1,0,1
1455209740186320066,10,0,/fsr_data_acquisition,0,1,0,1
1455209740194242000,11,0,/fsr_data_acquisition,0,1,0,1
1455209740195307016,12,0,/fsr_data_acquisition,0,1,0,1
1455209740201106071,13,0,/fsr_data_acquisition,0,1,0,1
1455209740205312967,14,0,/fsr_data_acquisition,0,1,0,1
1455209740209357976,15,0,/fsr_data_acquisition,0,1,0,1
1455209740219367027,16,0,/fsr_data_acquisition,1,1,0,1
1455209740222549915,17,0,/fsr_data_acquisition,1,1,0,1
1455209740225450992,18,0,/fsr_data_acquisition,1,1,0,1
1455209740229676008,19,0,/fsr_data_acquisition,1,1,0,1
1455209740235841989,20,0,/fsr_data_acquisition,1,1,0,1
1455209740240266084,21,0,/fsr_data_acquisition,1,1,0,1
1455209740244146108,22,0,/fsr_data_acquisition,1,1,0,1
1455209740251451969,23,0,/fsr_data_acquisition,1,1,1,1
1455209740257055044,24,0,/fsr_data_acquisition,1,1,1,1
1455209740260261058,25,0,/fsr_data_acquisition,1,1,1,1
1455209740264179944,26,0,/fsr_data_acquisition,1,1,1,1
1455209740270580053,27,0,/fsr_data_acquisition,1,1,1,1
1455209740275124073,28,0,/fsr_data_acquisition,1,1,1,1
1455209740279372930,29,0,/fsr_data_acquisition,1,1,1,1
1455209740287919044,30,0,/fsr_data_acquisition,1,1,1,1
1455209740290216922,31,0,/fsr_data_acquisition,1,1,1,1
1455209740294056892,32,0,/fsr_data_acquisition,1,1,1,1
1455209740301127910,33,0,/fsr_data_acquisition,1,1,1,1
1455209740305243015,34,0,/fsr_data_acquisition,1,1,1,1
1455209740309371948,35,0,/fsr_data_acquisition,1,1,1,1
1455209740317166090,36,0,/fsr_data_acquisition,1,1,1,1
1455209740321669101,37,0,/fsr_data_acquisition,1,1,1,1
1455209740324368000,38,0,/fsr_data_acquisition,1,1,1,1
1455209740331557035,39,0,/fsr_data_acquisition,1,1,1,1
1455209740335164070,40,0,/fsr_data_acquisition,1,1,1,1
1455209740339253902,41,0,/fsr_data_acquisition,1,1,1,1
1455209740345973014,42,0,/fsr_data_acquisition,1,1,1,1
1455209740351466894,43,0,/fsr_data_acquisition,1,1,1,1
1455209740354041099,44,0,/fsr_data_acquisition,1,1,1,1
1455209740361808061,45,0,/fsr_data_acquisition,1,1,1,1
1455209740365370988,46,0,/fsr_data_acquisition,1,1,1,1
1455209740369431972,47,0,/fsr_data_acquisition,1,0,1,1
1455209740376071929,48,0,/fsr_data_acquisition,1,0,1,1
1455209740381055116,49,0,/fsr_data_acquisition,1,1,1,1
1455209740384378910,50,0,/fsr_data_acquisition,1,1,1,1
1455209740391031026,51,0,/fsr_data_acquisition,1,1,1,1
1455209740396296024,52,0,/fsr_data_acquisition,1,1,1,1
1455209740401377916,53,0,/fsr_data_acquisition,1,1,1,1
1455209740405374050,54,0,/fsr_data_acquisition,1,1,1,1
1455209740412236928,55,0,/fsr_data_acquisition,1,1,1,1
1455209740414459943,56,0,/fsr_data_acquisition,1,1,1,1
1455209740420077085,57,0,/fsr_data_acquisition,1,1,1,1
1455209740425376892,58,0,/fsr_data_acquisition,1,1,1,1
1455209740430179119,59,0,/fsr_data_acquisition,1,1,1,1
1455209740435604095,60,0,/fsr_data_acquisition,1,1,1,1
1455209740442399978,61,0,/fsr_data_acquisition,1,1,1,1
1455209740444576978,62,0,/fsr_data_acquisition,1,1,1,1
1455209740451904058,63,0,/fsr_data_acquisition,1,1,1,1
1455209740455223083,64,0,/fsr_data_acquisition,1,1,1,1
1455209740459220886,65,0,/fsr_data_acquisition,1,1,1,1
1455209740465672969,66,0,/fsr_data_acquisition,1,1,1,1
1455209740472081899,67,0,/fsr_data_acquisition,1,1,1,1
1455209740474591016,68,0,/fsr_data_acquisition,1,1,1,1
1455209740480942964,69,0,/fsr_data_acquisition,1,1,1,1
1455209740485245943,70,0,/fsr_data_acquisition,1,1,1,1
1455209740489335060,71,0,/fsr_data_acquisition,1,1,1,1
1455209740495076894,72,0,/fsr_data_acquisition,1,1,1,1
1455209740502002954,73,0,/fsr_data_acquisition,1,1,1,1
1455209740505386114,74,0,/fsr_data_acquisition,1,1,1,1
1455209740509093999,75,0,/fsr_data_acquisition,1,1,1,1
1455209740515697002,76,0,/fsr_data_acquisition,1,1,1,1
1455209740519762992,77,0,/fsr_data_acquisition,1,1,1,1
1455209740524682044,78,0,/fsr_data_acquisition,1,1,1,1
1455209740531991958,79,0,/fsr_data_acquisition,1,1,1,1
1455209740534754991,80,0,/fsr_data_acquisition,1,1,1,1
1455209740538841962,81,0,/fsr_data_acquisition,1,1,1,1
1455209740545577049,82,0,/fsr_data_acquisition,1,1,1,1
1455209740551196098,83,0,/fsr_data_acquisition,1,1,1,1
1455209740555957078,84,0,/fsr_data_acquisition,1,1,1,1
1455209740563018083,85,0,/fsr_data_acquisition,1,1,1,1
1455209740565022945,86,0,/fsr_data_acquisition,1,1,1,1
1455209740568849086,87,0,/fsr_data_acquisition,1,1,1,1
1455209740575541019,88,0,/fsr_data_acquisition,1,1,1,1
1455209740580898046,89,0,/fsr_data_acquisition,1,1,1,1
1455209740583971977,90,0,/fsr_data_acquisition,1,1,1,1
1455209740595205068,91,0,/fsr_data_acquisition,1,1,1,1
1455209740599914073,93,0,/fsr_data_acquisition,1,1,1,1
1455209740610157966,94,0,/fsr_data_acquisition,1,1,1,1
1455209740614377975,95,0,/fsr_data_acquisition,1,1,1,1
1455209740619208097,96,0,/fsr_data_acquisition,1,1,1,1
1455209740623357057,97,0,/fsr_data_acquisition,1,1,1,1
1455209740625364065,98,0,/fsr_data_acquisition,1,1,1,1
1455209740628947973,99,0,/fsr_data_acquisition,1,1,1,1
1455209740634274005,100,0,/fsr_data_acquisition,1,1,1,1
1455209740639689922,101,0,/fsr_data_acquisition,1,1,1,1
