%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_stamp,field.quat_x,field.quat_y,field.quat_z,field.quat_w,field.gyro_x,field.gyro_y,field.gyro_z,field.accel_x,field.accel_y,field.accel_z
1540942029169097900,1,0,/imu_data_acquisition2,24840.0,0.0294799804688,-0.13330078125,0.808288574219,0.572692871094,0.5625,-0.5,-1.25,1.66,-1.76,9.57
1540942029174217939,2,0,/imu_data_acquisition2,24850.0,0.029541015625,-0.13330078125,0.808288574219,0.57275390625,0.25,-1.125,-1.1875,1.92,-1.88,9.43
1540942029184478044,3,0,/imu_data_acquisition2,24860.0,0.0294799804688,-0.133239746094,0.808227539062,0.572875976562,1.0,-0.5625,-1.5625,1.68,-1.8,9.57
1540942029194019079,4,0,/imu_data_acquisition2,24870.0,-6.103515625e-05,-6.103515625e-05,-6.103515625e-05,0.572937011719,0.375,-0.5625,-1.125,1.69,-1.8,9.44
1540942029204859972,5,0,/imu_data_acquisition2,24880.0,0.0294189453125,-0.133117675781,0.80810546875,0.573059082031,0.5625,-0.375,-1.375,1.87,-1.79,9.37
1540942029224184036,7,0,/imu_data_acquisition2,24900.0,0.029296875,-0.133056640625,0.807983398438,0.573181152344,0.25,0.0,-1.125,1.63,-1.85,9.59
1540942029237358093,8,0,/imu_data_acquisition2,24912.0,0.0291748046875,-0.132995605469,0.807983398438,0.5732421875,0.5625,0.1875,-1.0625,1.64,-1.85,9.57
1540942029248147010,9,0,/imu_data_acquisition2,24922.0,0.0291137695312,-0.132995605469,0.807922363281,0.573364257812,0.0625,-0.25,-1.125,1.78,-1.77,9.48
1540942029259977102,10,0,/imu_data_acquisition2,24935.0,0.029052734375,-0.132934570312,0.807861328125,0.573425292969,0.375,0.4375,-1.125,1.7,-1.85,9.43
1540942029267632961,11,0,/imu_data_acquisition2,24942.0,0.0289306640625,-0.132873535156,0.807861328125,0.573486328125,0.3125,0.6875,-0.75,1.77,-1.79,9.36
1540942029276889085,12,0,/imu_data_acquisition2,24951.0,0.0288696289062,-0.132873535156,0.807800292969,0.573547363281,0.4375,0.4375,-1.0,1.85,-1.82,9.22
1540942029286227941,13,0,/imu_data_acquisition2,24961.0,0.0286865234375,-0.132751464844,0.807800292969,0.573608398438,0.375,0.9375,-0.0625,1.45,-1.76,9.35
1540942029297629117,14,0,/imu_data_acquisition2,24971.0,0.0285034179688,-0.00738525390625,-6.103515625e-05,0.57373046875,1.4375,2.375,-0.0625,1.59,-1.61,9.63
1540942029307163953,15,0,/imu_data_acquisition2,24981.0,0.0284423828125,-0.13232421875,0.807739257812,0.573852539062,0.0625,0.875,-1.125,1.75,-1.7,8.94
1540942029329524040,17,0,/imu_data_acquisition2,25001.0,0.0282592773438,-0.007080078125,-6.103515625e-05,0.574035644531,-0.4375,0.6875,-1.375,2.2,-1.82,9.07
