%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1455208942099404096,1,0,/fsr_data_acquisition,0,0,0,0
1455208942101834058,2,0,/fsr_data_acquisition,0,0,0,0
1455208942102297067,3,0,/fsr_data_acquisition,0,0,0,0
1455208942106240987,4,0,/fsr_data_acquisition,0,0,0,0
1455208942111218929,5,0,/fsr_data_acquisition,0,0,0,0
1455208942116117954,6,0,/fsr_data_acquisition,0,0,0,0
1455208942120213985,7,0,/fsr_data_acquisition,0,0,0,0
1455208942126291036,8,0,/fsr_data_acquisition,0,0,0,0
1455208942130439043,9,0,/fsr_data_acquisition,0,0,0,0
1455208942139945983,10,0,/fsr_data_acquisition,0,0,0,0
1455208942142329931,11,0,/fsr_data_acquisition,0,0,0,0
1455208942146660089,12,0,/fsr_data_acquisition,0,0,0,0
1455208942150434017,13,0,/fsr_data_acquisition,0,0,0,0
1455208942159636020,14,0,/fsr_data_acquisition,0,0,0,0
1455208942161256074,15,0,/fsr_data_acquisition,0,0,0,0
1455208942165733098,16,0,/fsr_data_acquisition,0,0,0,0
1455208942172041893,17,0,/fsr_data_acquisition,0,0,0,0
1455208942176767110,18,0,/fsr_data_acquisition,0,0,0,0
1455208942180725097,19,0,/fsr_data_acquisition,0,0,0,0
1455208942185105085,20,0,/fsr_data_acquisition,0,0,0,0
1455208942191638946,21,0,/fsr_data_acquisition,0,0,0,0
1455208942197489023,22,0,/fsr_data_acquisition,0,0,0,0
1455208942202007055,23,0,/fsr_data_acquisition,0,0,0,0
1455208942206959009,24,0,/fsr_data_acquisition,0,0,0,0
1455208942211313009,25,0,/fsr_data_acquisition,0,0,0,0
1455208942215972900,26,0,/fsr_data_acquisition,0,0,0,0
1455208942222151994,27,0,/fsr_data_acquisition,0,0,0,0
1455208942231250047,29,0,/fsr_data_acquisition,0,0,0,0
1455208942239499092,30,0,/fsr_data_acquisition,0,0,0,0
1455208942241674900,31,0,/fsr_data_acquisition,0,0,0,0
1455208942246756076,32,0,/fsr_data_acquisition,0,0,0,0
1455208942251306056,33,0,/fsr_data_acquisition,0,0,0,0
1455208942259078025,34,0,/fsr_data_acquisition,0,0,0,0
1455208942260970115,35,0,/fsr_data_acquisition,0,0,0,0
1455208942266594886,36,0,/fsr_data_acquisition,0,0,0,0
1455208942271167993,37,0,/fsr_data_acquisition,0,0,0,0
1455208942275509119,38,0,/fsr_data_acquisition,0,0,0,0
1455208942281860113,39,0,/fsr_data_acquisition,0,0,0,0
1455208942286566972,40,0,/fsr_data_acquisition,0,0,0,0
1455208942290932893,41,0,/fsr_data_acquisition,0,0,0,0
1455208942296974897,42,0,/fsr_data_acquisition,0,0,0,0
1455208942302006959,43,0,/fsr_data_acquisition,0,0,0,0
1455208942306268930,44,0,/fsr_data_acquisition,0,0,0,0
