%time,field.header.seq,field.header.stamp,field.header.frame_id,field.toe,field.l_meta,field.r_meta,field.heel
1542222911003216028,838,0,/fsr_data_acquisition,0,1,1,1
1542222911006031036,839,0,/fsr_data_acquisition,0,1,1,1
1542222911011205911,840,0,/fsr_data_acquisition,0,1,1,1
1542222911015842914,841,0,/fsr_data_acquisition,0,1,1,1
1542222911021178007,842,0,/fsr_data_acquisition,0,1,1,1
1542222911025813102,843,0,/fsr_data_acquisition,0,1,1,1
1542222911038651943,845,0,/fsr_data_acquisition,0,1,1,1
1542222911040921926,846,0,/fsr_data_acquisition,0,1,1,1
1542222911046881914,847,0,/fsr_data_acquisition,1,1,1,1
1542222911050968885,848,0,/fsr_data_acquisition,1,1,1,1
1542222911056484937,849,0,/fsr_data_acquisition,1,1,1,1
1542222911064330101,850,0,/fsr_data_acquisition,1,1,1,1
1542222911067425966,851,0,/fsr_data_acquisition,1,1,1,1
1542222911071990966,852,0,/fsr_data_acquisition,1,1,1,1
1542222911076116085,853,0,/fsr_data_acquisition,1,1,1,1
1542222911080951929,854,0,/fsr_data_acquisition,1,1,1,1
1542222911086873054,855,0,/fsr_data_acquisition,1,1,1,1
1542222911091202020,856,0,/fsr_data_acquisition,1,1,1,1
1542222911095402956,857,0,/fsr_data_acquisition,1,1,1,1
1542222911101258039,858,0,/fsr_data_acquisition,1,1,1,1
1542222911106101036,859,0,/fsr_data_acquisition,1,1,1,1
1542222911110867977,860,0,/fsr_data_acquisition,1,1,1,1
1542222911116662979,861,0,/fsr_data_acquisition,1,1,1,1
1542222911122194051,862,0,/fsr_data_acquisition,1,1,1,1
1542222911126009941,863,0,/fsr_data_acquisition,1,1,1,1
1542222911132493019,864,0,/fsr_data_acquisition,1,1,1,1
1542222911138109922,865,0,/fsr_data_acquisition,1,1,1,1
1542222911140322923,866,0,/fsr_data_acquisition,1,1,1,1
1542222911146620035,867,0,/fsr_data_acquisition,1,1,1,1
1542222911151374101,868,0,/fsr_data_acquisition,1,1,1,1
1542222911155479907,869,0,/fsr_data_acquisition,1,1,1,1
1542222911160562038,870,0,/fsr_data_acquisition,1,1,1,1
1542222911168379068,871,0,/fsr_data_acquisition,1,1,1,1
1542222911170475959,872,0,/fsr_data_acquisition,1,1,1,1
1542222911176039934,873,0,/fsr_data_acquisition,1,1,1,1
1542222911186328887,874,0,/fsr_data_acquisition,1,1,1,1
